  PID TTY           TIME CMD
    1 ??         3:50.78 /sbin/launchd
  127 ??         0:21.72 /usr/sbin/syslogd
  128 ??         0:16.51 /usr/libexec/UserEventAgent (System)
  130 ??       217:36.06 /Library/Application Support/Malwarebytes/MBAM/Engine.
  132 ??         0:00.79 /System/Library/PrivateFrameworks/Uninstall.framework/
  133 ??         0:05.51 /usr/libexec/kextd
  134 ??         1:53.17 /System/Library/Frameworks/CoreServices.framework/Vers
  135 ??         0:01.50 /opt/cisco/anyconnect/bin/vpnagentd -execv_instance
  136 ??         0:04.43 /System/Library/PrivateFrameworks/MediaRemote.framewor
  139 ??         0:31.09 /usr/sbin/systemstats --daemon
  140 ??         0:12.89 /usr/libexec/configd
  141 ??         0:00.08 endpointsecurityd
  142 ??         0:19.14 /System/Library/CoreServices/powerd.bundle/powerd
  147 ??         9:39.06 /usr/libexec/logd
  148 ??         0:00.10 /usr/libexec/keybagd -t 15
  149 ??         0:03.87 /Library/Application Support/Avira/Services/Avira Serv
  150 ??         0:43.10 /Library/Sophos Anti-Virus/SophosServiceManager.app/Co
  154 ??         0:01.46 /usr/libexec/watchdogd
  158 ??         3:10.92 /System/Library/Frameworks/CoreServices.framework/Fram
  159 ??         0:00.21 /Library/SophosCBR/SophosCBR.bundle/Contents/MacOS/Sop
  160 ??         0:00.12 /System/Library/CoreServices/iconservicesd
  161 ??         0:03.13 /usr/libexec/diskarbitrationd
  164 ??         0:11.15 /usr/libexec/coreduetd
  168 ??         0:47.34 /usr/libexec/opendirectoryd
  169 ??         0:07.25 /etc/NX/nxserver --daemon
  170 ??         0:10.61 /System/Library/PrivateFrameworks/ApplePushService.fra
  171 ??         1:52.25 /System/Library/CoreServices/launchservicesd
  172 ??         0:00.20 /usr/libexec/timed
  174 ??         0:00.15 /System/Library/PrivateFrameworks/MobileDevice.framewo
  175 ??         0:11.00 /usr/sbin/securityd -i
  176 ??         0:00.01 auditd -l
  178 ??         0:05.95 /usr/libexec/locationd
  181 ??         0:00.02 autofsd
  182 ??         0:00.60 /usr/libexec/displaypolicyd -k 1
  183 ??         0:10.48 /usr/libexec/dasd
  184 ??         0:00.18 /System/Library/PrivateFrameworks/Heimdal.framework/He
  186 ??         0:18.42 /usr/libexec/PerfPowerServices
  189 ??         0:00.08 /System/Library/CoreServices/logind
  190 ??         0:00.64 /System/Library/PrivateFrameworks/GenerationalStorage.
  191 ??         0:00.01 /usr/sbin/KernelEventAgent
  193 ??         0:55.31 /usr/sbin/bluetoothd
  194 ??         0:00.76 openvpn --config /Applications/Avira Phantom VPN.app/C
  195 ??         1:55.20 /usr/libexec/hidd
  197 ??         0:04.30 /usr/libexec/corebrightnessd --launchd
  198 ??         0:09.10 /usr/libexec/AirPlayXPCHelper
  199 ??         0:25.05 /usr/sbin/notifyd
  200 ??         0:08.23 /usr/libexec/amfid
  201 ??         0:01.92 /usr/sbin/distnoted daemon
  203 ??         0:28.68 /usr/sbin/cfprefsd daemon
  204 ??         0:08.46 /System/Library/CoreServices/coreservicesd
  205 ??         0:37.56 /usr/libexec/syspolicyd
  206 ??         0:41.15 /System/Library/PrivateFrameworks/TCC.framework/Resour
  207 ??         0:00.02 aslmanager
  209 ??         0:40.37 /System/Library/CoreServices/loginwindow.app/Contents/
  239 ??         0:01.23 /System/Library/Frameworks/Security.framework/Versions
  247 ??         9:33.48 /usr/sbin/coreaudiod
  248 ??         6:57.23 /usr/libexec/trustd
  249 ??         0:01.06 /System/Library/PrivateFrameworks/CoreAnalytics.framew
  250 ??         0:18.47 /System/Library/PrivateFrameworks/CoreDuetContext.fram
  252 ??         0:00.57 /usr/libexec/nehelper
  254 ??         0:00.08 /System/Library/Frameworks/CoreAudio.framework/Version
  256 ??         0:05.55 /usr/sbin/ocspd
  262 ??        49:53.25 /System/Library/PrivateFrameworks/SkyLight.framework/R
  263 ??         0:04.76 /usr/libexec/mobileassetd
  273 ??         0:00.27 /usr/libexec/searchpartyd
  282 ??         0:28.58 /usr/libexec/symptomsd
  283 ??         0:37.51 /usr/sbin/mDNSResponder
  284 ??         0:00.94 /usr/sbin/mDNSResponderHelper
  286 ??         0:00.11 /System/Library/PrivateFrameworks/WirelessDiagnostics.
  287 ??         0:00.58 /System/Library/PrivateFrameworks/GeoServices.framewor
  290 ??         0:01.09 /usr/libexec/nsurlsessiond --privileged
  292 ??         0:00.01 /usr/sbin/cfprefsd agent
  293 ??         0:00.14 /usr/libexec/trustd --agent
  294 ??         0:00.11 /System/Library/Frameworks/AudioToolbox.framework/Audi
  297 ??         0:24.55 /usr/libexec/airportd
  336 ??         0:04.81 /usr/libexec/lsd runAsRoot
  337 ??         0:03.83 /Library/Application Support/Malwarebytes/MBAM/Engine.
  338 ??         0:00.01 /usr/libexec/smd
  339 ??         0:14.10 SophosConfigD
  340 ??         0:08.87 /System/Library/CoreServices/backupd.bundle/Contents/R
  342 ??         0:00.48 /System/Library/PrivateFrameworks/CoreSymbolication.fr
  345 ??         0:00.08 /usr/libexec/lsd
  347 ??         0:00.01 /usr/sbin/cfprefsd agent
  348 ??         0:00.15 /usr/libexec/secd
  351 ??         0:00.20 /usr/sbin/distnoted agent
  354 ??         0:00.31 /usr/libexec/diskmanagementd
  356 ??         0:00.51 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
  357 ??         0:00.11 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
  359 ??         0:00.20 /usr/libexec/findmydeviced
  360 ??         0:00.04 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
  364 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
  365 ??         0:00.03 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
  366 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
  367 ??         0:14.57 /usr/libexec/runningboardd
  372 ??         0:05.13 /System/Library/Frameworks/Security.framework/Versions
  374 ??         4:41.21 /System/Library/Frameworks/CoreServices.framework/Fram
  378 ??         0:50.49 /Applications/Avira.app/Contents/Helpers/eprocsd -v -c
  380 ??         0:00.09 /usr/libexec/secinitd
  386 ??         0:11.58 /usr/libexec/TouchBarServer
  390 ??         0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A
  392 ??         0:00.35 /usr/libexec/colorsync.displayservices
  393 ??         0:00.08 /usr/libexec/colorsyncd
  394 ??         0:12.95 /System/Library/CoreServices/appleeventsd --server
  395 ??         0:00.01 /usr/libexec/multiversed
  396 ??         0:00.02 /System/Library/CryptoTokenKit/com.apple.ifdreader.slo
  397 ??         0:00.08 /usr/libexec/apfsd
  398 ??         0:00.18 /usr/libexec/usbd
  399 ??         0:00.44 /usr/libexec/thermald
  400 ??         5:21.54 /System/Library/Frameworks/CoreMediaIO.framework/Resou
  403 ??         0:00.02 /usr/libexec/bootinstalld
  406 ??        37:16.64 /usr/libexec/sysmond
  409 ??         0:00.25 /System/Library/CoreServices/SubmitDiagInfo server-ini
  410 ??         0:00.10 /System/Library/PrivateFrameworks/BridgeOSSoftwareUpda
  414 ??         0:00.13 /usr/libexec/mobileactivationd
  417 ??         0:17.47 /System/Library/PrivateFrameworks/XprotectFramework.fr
  418 ??         0:00.05 /System/Library/PrivateFrameworks/AccountPolicy.framew
  420 ??         0:00.53 /usr/sbin/systemstats --logger-helper /private/var/db/
  423 ??         0:00.20 /usr/libexec/nsurlstoraged --privileged
  424 ??         0:00.01 /System/Library/Frameworks/CoreMediaIO.framework/Versi
  426 ??         0:00.05 /System/Library/Frameworks/GSS.framework/Helpers/GSSCr
  427 ??         1:36.75 SophosAutoUpdate -d
  428 ??         0:00.06 /System/Library/CoreServices/iconservicesagent runAsRo
  431 ??         0:00.13 /System/Library/CoreServices/sharedfilelistd
  432 ??         0:00.01 /System/Library/CoreServices/CrashReporterSupportHelpe
  437 ??         0:00.11 /System/Library/Frameworks/LocalAuthentication.framewo
  438 ??         0:00.20 /System/Library/Frameworks/LocalAuthentication.framewo
  440 ??         0:14.82 /usr/sbin/cfprefsd agent
  441 ??         0:00.08 /usr/libexec/securityd_service
  442 ??         0:00.27 /usr/libexec/biometrickitd --launchd
  444 ??         0:21.75 SophosMcsAgentD
  445 ??         0:00.03 /usr/libexec/biokitaggdd
  446 ??         0:00.24 SophosCleanD
  447 ??         0:44.59 SophosSXLD
  452 ??         0:00.01 /Applications/NoMachine.app/Contents/Frameworks/bin/nx
  455 ??         0:05.99 /System/Library/PrivateFrameworks/ViewBridge.framework
  456 ??         0:00.20 /usr/sbin/distnoted agent
  457 ??         4:59.01 SophosWebIntelligenceLegacy
  458 ??         0:02.20 SophosHealthD
  459 ??        19:44.73 SophosScanDLegacy
  460 ??         0:07.78 SophosAntiVirus -d
  463 ??         0:00.09 /usr/libexec/captiveagent
